Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,social,Over,0,0.79,0.99,0.78,0.87,0.83,0.79,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,1,0.79,0.17,0.88,0.29,0.83,0.79,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,0,0.75,0.99,0.74,0.85,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,1,0.75,0.16,0.91,0.27,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,0,0.75,0.99,0.74,0.85,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.75,0.16,0.91,0.27,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.75,0.99,0.74,0.85,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.75,0.16,0.91,0.27,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.75,0.99,0.74,0.85,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,1,0.75,0.16,0.91,0.27,0.83,0.75,"('n_neighbors:', 100, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,0,0.8,0.99,0.80,0.88,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Over,1,0.8,0.17,0.80,0.28,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Over,0,0.8,0.99,0.80,0.88,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.8,0.17,0.80,0.28,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.8,0.99,0.80,0.88,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.8,0.17,0.80,0.28,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.8,0.99,0.80,0.88,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,1,0.8,0.17,0.80,0.28,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,0,0.76,0.99,0.76,0.86,0.79,0.76,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,1,0.76,0.15,0.83,0.26,0.79,0.76,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,0,0.8,0.99,0.80,0.88,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.8,0.17,0.80,0.28,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.8,0.99,0.80,0.88,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.8,0.17,0.80,0.28,0.8,0.8,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.76,0.99,0.76,0.86,0.79,0.76,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,1,0.76,0.15,0.83,0.26,0.79,0.76,"('n_neighbors:', 150, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,0,0.78,0.99,0.78,0.87,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Over,1,0.78,0.17,0.89,0.29,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Over,0,0.78,0.99,0.78,0.87,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.78,0.17,0.89,0.29,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.78,0.99,0.77,0.87,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.78,0.17,0.89,0.29,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.78,0.99,0.78,0.87,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,1,0.78,0.17,0.89,0.29,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,0,0.74,0.99,0.73,0.85,0.83,0.74,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,1,0.74,0.15,0.92,0.26,0.83,0.74,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,0,0.78,0.99,0.78,0.87,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.78,0.17,0.89,0.29,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.78,0.99,0.77,0.87,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.78,0.17,0.89,0.29,0.83,0.78,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.74,0.99,0.73,0.85,0.83,0.74,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,1,0.74,0.15,0.92,0.26,0.83,0.74,"('n_neighbors:', 150, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
